Map Level Progress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Design Config,,,,,Metadata,,,,,,,Gameplay Data,,,,,,,Estimate,,Target,,Report,,,,,,,,,,,
Map,Level,ID,Ingredient Weights,Customer Dishes Sequence,Complexity Curve,Shuffle Curve,Design Note,Weather,Tag,Num Customers,Num Dishes,Num Ingredients,New Object Ids,Tut Id,Customers,Grid,Queues,concat metadata,concat ingame-data,Coin,Note,E-TimePlay,E-WinRate,T-TimePlay,T-WinRate,R-TimePlay,R-WinRate,,New Objs,Tut,,Recommended Num Orders,,colony-data,,,
1,1,1_1,,,,"{""range"":{""minX"":0,""maxX"":1,""minY"":0,""maxY"":1},""keyframes"":[{""x"":0,""y"":0,""tangent"":1},{""x"":1,""y"":1,""tangent"":1}]}",,Normal,Normal,4,5,11,,,"0;0;0;0.1|0;0;0;0.1|0;0;0;0.1,0.1|0;0;0;0.1.1.1",",,,,,,,,,","1,1,0%0,1,1,0,1,1%0,1,0",0;0;4;5;11;;,"0;0;0;0.1|0;0;0;0.1|0;0;0;0.1,0.1|0;0;0;0.1.1.1~,,,,,,,,,~1,1,0%0,1,1,0,1,1%0,1,0",100,,00:00:33,,00:00:30,100%,,,,,,,,,41,97.50%,00:00:30,100.00%
1,2,1_2,,,,"{""range"":{""minX"":0,""maxX"":1,""minY"":0,""maxY"":1},""keyframes"":[{""x"":0,""y"":0,""tangent"":1},{""x"":1,""y"":1,""tangent"":1}]}",,Normal,Normal,7,12,19,7,,"0;0;0;0.1|0;0;0;7|0;0;0;0.1,7|0;0;0;0.1.1|0;0;0;7,0.1|0;0;0;7|0;0;0;0.1,0.1,0.1,7",",,,,,,,,,","0,1,7,1,0,1%0,0,1,0,7,1,0,1%1,7,7,0,1,7",0;0;7;12;19;7;,"0;0;0;0.1|0;0;0;7|0;0;0;0.1,7|0;0;0;0.1.1|0;0;0;7,0.1|0;0;0;7|0;0;0;0.1,0.1,0.1,7~,,,,,,,,,~0,1,7,1,0,1%0,0,1,0,7,1,0,1%1,7,7,0,1,7",100,,00:00:57,,00:00:30,95%,,,,,,,,,41,97.50%,00:00:30,95.00%
1,3,1_3,,,,"{""range"":{""minX"":0,""maxX"":1,""minY"":0,""maxY"":1},""keyframes"":[{""x"":0,""y"":0,""tangent"":1},{""x"":1,""y"":1,""tangent"":1}]}",,Normal,Normal,8,13,25,2,booster_0,"0;0;0;7|0;0;0;0.1.2|0;0;0;0.2,0.2.1|0;0;0;0.2.1,0.1|0;0;0;0.2.1|0;0;0;0.2.1|0;0;0;7,0.1.2|0;0;0;7,0.1,0.2.1",",,,,,,,,,","0,1,1,0,1,2,0,1%1,7,1,2,7,0,0,1,0,2%0,0,7,1,0,2,1,0",0;0;8;13;25;2;booster_0,"0;0;0;7|0;0;0;0.1.2|0;0;0;0.2,0.2.1|0;0;0;0.2.1,0.1|0;0;0;0.2.1|0;0;0;0.2.1|0;0;0;7,0.1.2|0;0;0;7,0.1,0.2.1~,,,,,,,,,~0,1,1,0,1,2,0,1%1,7,1,2,7,0,0,1,0,2%0,0,7,1,0,2,1,0",165,,00:01:15,,00:01:00,90%,,,,,,,,,68,91.75%,00:01:00,90.00%
1,4,1_4,,,,"{""range"":{""minX"":0,""maxX"":1,""minY"":0,""maxY"":2},""keyframes"":[{""x"":0,""y"":0,""tangent"":1},{""x"":1,""y"":1,""tangent"":1}]}",,Normal,Normal,10,16,39,6,,"0;0;0;7|0;0;0;0.1.6|0;0;0;0.2.1.6|0;0;0;0.6,0.6|0;0;0;7|0;0;0;0.6.2.1,0.1|0;0;0;0.1.6.2|0;0;0;7,0.6.1|0;0;0;0.2.6.1,0.6.1.2|0;0;0;0.1.2,0.1.2,0.1.2",",,,,,,,,,","0,2,0,1,7,7,6,2,1,1,2,1,0%7,0,6,0,1,6,1,0,2,0,1,6,0,6%1,0,1,0,0,6,0,0,6,1,6,6,1",0;0;10;16;39;6;,"0;0;0;7|0;0;0;0.1.6|0;0;0;0.2.1.6|0;0;0;0.6,0.6|0;0;0;7|0;0;0;0.6.2.1,0.1|0;0;0;0.1.6.2|0;0;0;7,0.6.1|0;0;0;0.2.6.1,0.6.1.2|0;0;0;0.1.2,0.1.2,0.1.2~,,,,,,,,,~0,2,0,1,7,7,6,2,1,1,2,1,0%7,0,6,0,1,6,1,0,2,0,1,6,0,6%1,0,1,0,0,6,0,0,6,1,6,6,1",290,,00:01:57,,00:01:30,95%,,,,,,,,,101,95.79%,00:01:30,95.00%
1,5,1_5,,,,"{""range"":{""minX"":0,""maxX"":1,""minY"":0,""maxY"":3},""keyframes"":[{""x"":0,""y"":0,""tangent"":1},{""x"":1,""y"":1,""tangent"":1}]}",,Normal,Hard,12,19,58,3,,"0;0;0;7|0;0;0;0.2.1|0;0;0;0.1.3.2.6|0;0;0;7,0.6.3|0;0;0;0.1.2,0.6.2.3|0;0;0;0.3.6.2.1|0;0;0;0.3.6.2.1|0;0;0;0.6.3.2.1,0.6.2|0;0;0;0.6.2.3.1|0;0;0;0.3.2.1.6,0.3.2.1.6|0;0;0;0.6.1.3.2,0.6.3.1.2|0;0;0;0.1.3.6.2,0.2.1,0.2",",,,,,,,,,","1,0,2,6,6,1,0,6,2,1,3,6,0,6,1,6,0,2,6%0,0,7,6,2,6,0,3,0,3,1,1,2,2,0,3,0,3,0,6,1%1,0,2,1,6,0,2,1,7,1,1,0,0,6,3,0,6,0,1",0;1;12;19;58;3;,"0;0;0;7|0;0;0;0.2.1|0;0;0;0.1.3.2.6|0;0;0;7,0.6.3|0;0;0;0.1.2,0.6.2.3|0;0;0;0.3.6.2.1|0;0;0;0.3.6.2.1|0;0;0;0.6.3.2.1,0.6.2|0;0;0;0.6.2.3.1|0;0;0;0.3.2.1.6,0.3.2.1.6|0;0;0;0.6.1.3.2,0.6.3.1.2|0;0;0;0.1.3.6.2,0.2.1,0.2~,,,,,,,,,~1,0,2,6,6,1,0,6,2,1,3,6,0,6,1,6,0,2,6%0,0,7,6,2,6,0,3,0,3,1,1,2,2,0,3,0,3,0,6,1%1,0,2,1,6,0,2,1,7,1,1,0,0,6,3,0,6,0,1",465,,00:02:54,,00:02:30,90%,,,,,,,,,135,92.39%,00:02:30,90.00%
1,6,1_6,,,,"{""range"":{""minX"":0,""maxX"":1,""minY"":0,""maxY"":3},""keyframes"":[{""x"":0,""y"":0,""tangent"":1},{""x"":1,""y"":1,""tangent"":1}]}",,Normal,Normal,7,12,25,13,booster_1,"0;0;0;0.6|0;0;0;0.6.1.2|0;0;0;0.3.1.2,13|0;0;0;0.2.1.6|0;0;0;0.1,7|0;0;0;0.1,0.6,13|0;0;0;0.6.3,0.1.6.2",",,,,,,,,,","2,0,1,1,6,6,1,2,1%3,6,13,6,6,1,0,0,0%0,0,0,6,0,1,7,0",0;0;7;12;25;13;booster_1,"0;0;0;0.6|0;0;0;0.6.1.2|0;0;0;0.3.1.2,13|0;0;0;0.2.1.6|0;0;0;0.1,7|0;0;0;0.1,0.6,13|0;0;0;0.6.3,0.1.6.2~,,,,,,,,,~2,0,1,1,6,6,1,2,1%3,6,13,6,6,1,0,0,0%0,0,0,6,0,1,7,0",180,,00:01:15,,00:01:00,95%,,,,,,,,,59,96.18%,00:01:00,95.00%
1,7,1_7,0:100;1:100;2:22;3:27;6:35;7:22;13:100,1;1;2;1;2;2;1;2;3,"{""range"":{""minX"":0,""maxX"":1,""minY"":1,""maxY"":7},""keyframes"":[{""x"":0,""y"":0.10909780064923635,""tangent"":0},{""x"":0.24711907810499362,""y"":0.6571739978358792,""tangent"":0},{""x"":0.6081946222791293,""y"":0.4855541785148091,""tangent"":0},{""x"":1,""y"":1,""tangent"":0}]}","{""range"":{""minX"":0,""maxX"":1,""minY"":0,""maxY"":3},""keyframes"":[{""x"":0,""y"":0,""tangent"":1},{""x"":1,""y"":1,""tangent"":1}]}",intro weather & wait time,Rainy,Normal,9,14,28,,shipper,"0;0;0;0.3|0;60;1;0.2.1|0;0;0;13,0.1.3.2|0;0;0;0.6.1.3.2|0;0;0;0.6.1,13|0;0;0;0.1.6,13|0;60;1;0.1.6.3.2|0;60;1;0.3.1,0.1,0.3|0;0;0;13",",,,,,,,,,","0,0,2,0,0,6,2,0,1%0,0,13,1,6,0,1,0,1,3,13%3,1,1,3,6,0,1,6,1",1;0;9;14;28;;shipper,"0;0;0;0.3|0;60;1;0.2.1|0;0;0;13,0.1.3.2|0;0;0;0.6.1.3.2|0;0;0;0.6.1,13|0;0;0;0.1.6,13|0;60;1;0.1.6.3.2|0;60;1;0.3.1,0.1,0.3|0;0;0;13~,,,,,,,,,~0,0,2,0,0,6,2,0,1%0,0,13,1,6,0,1,0,1,3,13%3,1,1,3,6,0,1,6,1",210,,00:01:24,,00:01:30,95%,,,,,,,,,95,96.16%,00:01:30,95.00%
1,8,1_8,0:100;1:100;2:100;3:100;5:41;6:33;13:100,1;2;3;1;1;2;1;2;2,"{""range"":{""minX"":0,""maxX"":1,""minY"":1,""maxY"":9},""keyframes"":[{""x"":0,""y"":0.10909780064923635,""tangent"":0},{""x"":0.2240717029449424,""y"":0.42465682327184884,""tangent"":0},{""x"":0.4827144686299616,""y"":0.7291435994866504,""tangent"":0},{""x"":0.7362355953905251,""y"":0.4135845768640378,""tangent"":0},{""x"":1,""y"":1,""tangent"":0}]}","{""range"":{""minX"":0,""maxX"":1,""minY"":0,""maxY"":3},""keyframes"":[{""x"":0,""y"":0,""tangent"":1},{""x"":1,""y"":1,""tangent"":1}]}",,Normal,Normal,10,17,35,5,,"0;0;0;0.6|0;0;0;13,0.3|0;0;0;0.2.1.3.5|0;0;0;0.1.2,13|0;0;0;0.2.3.1,0.3.5|0;0;0;0.1.3.6.5|0;0;0;0.1.2,0.3|0;0;0;13,0.1,13|0;0;0;0.2.5.3|0;0;0;0.1.6.5,0.5.2.6.3",",,,,,,,,,","13,5,0,1,0,5,1,1,0,0,2%6,1,0,3,1,0,5,0,3,13,0,6,2,6%0,0,2,0,6,1,3,0,0,1,3",0;0;10;17;35;5;,"0;0;0;0.6|0;0;0;13,0.3|0;0;0;0.2.1.3.5|0;0;0;0.1.2,13|0;0;0;0.2.3.1,0.3.5|0;0;0;0.1.3.6.5|0;0;0;0.1.2,0.3|0;0;0;13,0.1,13|0;0;0;0.2.5.3|0;0;0;0.1.6.5,0.5.2.6.3~,,,,,,,,,~13,5,0,1,0,5,1,1,0,0,2%6,1,0,3,1,0,5,0,3,13,0,6,2,6%0,0,2,0,6,1,3,0,0,1,3",255,,00:01:45,,00:02:00,95%,,,,,,,,,106,94.41%,00:02:00,95.00%
1,9,1_9,0:100;1:100;2:14;3:47;5:100;6:100;7:75;13:99,1;1;2;2;3;1;2;1;1;2;1;3,"{""range"":{""minX"":0,""maxX"":1,""minY"":1,""maxY"":9},""keyframes"":[{""x"":0,""y"":0.34161497521326667,""tangent"":0},{""x"":0.2855313700384123,""y"":0.0703449382218978,""tangent"":0},{""x"":0.53393085787452,""y"":0.5630599033694859,""tangent"":0},{""x"":1,""y"":1,""tangent"":0}]}","{""range"":{""minX"":0,""maxX"":1,""minY"":0,""maxY"":3},""keyframes"":[{""x"":0,""y"":0,""tangent"":1},{""x"":1,""y"":1,""tangent"":1}]}",,Rainy,Normal,12,21,44,,booster_2,"0;0;0;0.5.6.1|0;0;0;0.1.5|0;0;0;13,13|0;0;0;13,7|0;60;1;13,7,13|0;0;0;0.5.2.6.3|0;0;0;0.5.6,0.6.5|0;0;0;0.5.6.1.3|0;60;1;0.6.5.1.2|0;0;0;0.6.5.3.2,0.5.3|0;0;0;0.6.5.1.2|0;60;1;0.2.1,0.3.6.2,0.6.3,13",",,,,,,,,,","0,7,1,13,0,0,6%5,3,13,0,3,0,1,0,6,6%6,7,6,5,0,6,1,5,5,6,5%1,1,2,2,6,0,1,0,2,6%0,13,0,6,0,3,0",1;0;12;21;44;;booster_2,"0;0;0;0.5.6.1|0;0;0;0.1.5|0;0;0;13,13|0;0;0;13,7|0;60;1;13,7,13|0;0;0;0.5.2.6.3|0;0;0;0.5.6,0.6.5|0;0;0;0.5.6.1.3|0;60;1;0.6.5.1.2|0;0;0;0.6.5.3.2,0.5.3|0;0;0;0.6.5.1.2|0;60;1;0.2.1,0.3.6.2,0.6.3,13~,,,,,,,,,~0,7,1,13,0,0,6%5,3,13,0,3,0,1,0,6,6%6,7,6,5,0,6,1,5,5,6,5%1,1,2,2,6,0,1,0,2,6%0,13,0,6,0,3,0",325,,00:02:12,,00:02:30,90%,,,,,,,,,147,91.44%,00:02:30,90.00%
