Level_ID,Name,Weather,LevelTag,FeatureUnlock,ShuffleDistance,ServeableSlots,QueueString,GridString,CustomerString,OutOfSlotPolicy,BoosterCharges,IngredientWeights,CustomerDishesSequence,ComplexityCurve,ShuffleCurve,DesignNote
1,1_1,Normal,Normal,,0,2,"1,1,0%0,1,1,0,1,1%0,1,0",",,,,,,,,,","0;0;0;{c0:100.{g0:101}}|0;0;0;{c0:100.{g0:101}}|0;0;0;{c0:100.{g0:101}},{c0:100.{g0:101}}|0;0;0;{c0:100.{g0:101.101.101}}",,,,,,"{""range"":{""minX"":0,""maxX"":1,""minY"":0,""maxY"":1},""keyframes"":[{""x"":0,""y"":0,""tangent"":1},{""x"":1,""y"":1,""tangent"":1}]}",
2,1_2,Normal,Normal,,0,2,"0,1,7,1,0,1%0,0,1,0,7,1,0,1%1,7,7,0,1,7",",,,,,,,,,","0;0;0;{c0:100.{g0:101}}|0;0;0;{c1:107}|0;0;0;{c0:100.{g0:101}},{c1:107}|0;0;0;{c0:100.{g0:101.101}}|0;0;0;{c1:107},{c0:100.{g0:101}}|0;0;0;{c1:107}|0;0;0;{c0:100.{g0:101}},{c0:100.{g0:101}},{c0:100.{g0:101}},{c1:107}",,,,,,"{""range"":{""minX"":0,""maxX"":1,""minY"":0,""maxY"":1},""keyframes"":[{""x"":0,""y"":0,""tangent"":1},{""x"":1,""y"":1,""tangent"":1}]}",
3,1_3,Normal,Normal,,0,2,"0,1,1,0,1,2,0,1%1,7,1,2,7,0,0,1,0,2%0,0,7,1,0,2,1,0",",,,,,,,,,","0;0;0;{c1:107}|0;0;0;{c0:100.{g0:101.102}}|0;0;0;{c0:100.{g0:102}},{c0:100.{g0:102.101}}|0;0;0;{c0:100.{g0:102.101}},{c0:100.{g0:101}}|0;0;0;{c0:100.{g0:102.101}}|0;0;0;{c0:100.{g0:102.101}}|0;0;0;{c1:107},{c0:100.{g0:101.102}}|0;0;0;{c1:107},{c0:100.{g0:101}},{c0:100.{g0:102.101}}",,,,,,"{""range"":{""minX"":0,""maxX"":1,""minY"":0,""maxY"":1},""keyframes"":[{""x"":0,""y"":0,""tangent"":1},{""x"":1,""y"":1,""tangent"":1}]}",
4,1_4,Normal,Normal,,0,2,"0,2,0,1,7,7,6,2,1,1,2,1,0%7,0,6,0,1,6,1,0,2,0,1,6,0,6%1,0,1,0,0,6,0,0,6,1,6,6,1",",,,,,,,,,","0;0;0;{c1:107}|0;0;0;{c0:100.{g0:101.106}}|0;0;0;{c0:100.{g0:102.101.106}}|0;0;0;{c0:100.{g0:106}},{c0:100.{g0:106}}|0;0;0;{c1:107}|0;0;0;{c0:100.{g0:106.102.101}},{c0:100.{g0:101}}|0;0;0;{c0:100.{g0:101.106.102}}|0;0;0;{c1:107},{c0:100.{g0:106.101}}|0;0;0;{c0:100.{g0:102.106.101}},{c0:100.{g0:106.101.102}}|0;0;0;{c0:100.{g0:101.102}},{c0:100.{g0:101.102}},{c0:100.{g0:101.102}}",,,,,,"{""range"":{""minX"":0,""maxX"":1,""minY"":0,""maxY"":2},""keyframes"":[{""x"":0,""y"":0,""tangent"":1},{""x"":1,""y"":1,""tangent"":1}]}",
5,1_5,Normal,Hard,,0,2,"1,0,2,6,6,1,0,6,2,1,3,6,0,6,1,6,0,2,6%0,0,7,6,2,6,0,3,0,3,1,1,2,2,0,3,0,3,0,6,1%1,0,2,1,6,0,2,1,7,1,1,0,0,6,3,0,6,0,1",",,,,,,,,,","0;0;0;{c1:107}|0;0;0;{c0:100.{g0:102.101}}|0;0;0;{c0:100.{g0:101.103.102.106}}|0;0;0;{c1:107},{c0:100.{g0:106.103}}|0;0;0;{c0:100.{g0:101.102}},{c0:100.{g0:106.102.103}}|0;0;0;{c0:100.{g0:103.106.102.101}}|0;0;0;{c0:100.{g0:103.106.102.101}}|0;0;0;{c0:100.{g0:106.103.102.101}},{c0:100.{g0:106.102}}|0;0;0;{c0:100.{g0:106.102.103.101}}|0;0;0;{c0:100.{g0:103.102.101.106}},{c0:100.{g0:103.102.101.106}}|0;0;0;{c0:100.{g0:106.101.103.102}},{c0:100.{g0:106.103.101.102}}|0;0;0;{c0:100.{g0:101.103.106.102}},{c0:100.{g0:102.101}},{c0:100.{g0:102}}",,,,,,"{""range"":{""minX"":0,""maxX"":1,""minY"":0,""maxY"":3},""keyframes"":[{""x"":0,""y"":0,""tangent"":1},{""x"":1,""y"":1,""tangent"":1}]}",
6,1_6,Normal,Normal,,0,2,"2,0,1,1,6,6,1,2,1%3,6,13,6,6,1,0,0,0%0,0,0,6,0,1,7,0",",,,,,,,,,","0;0;0;{c0:100.{g0:106}}|0;0;0;{c0:100.{g0:106.101.102}}|0;0;0;{c0:100.{g0:103.101.102}},{c2:{g1:112}}|0;0;0;{c0:100.{g0:102.101.106}}|0;0;0;{c0:100.{g0:101}},{c1:107}|0;0;0;{c0:100.{g0:101}},{c0:100.{g0:106}},{c2:{g1:112}}|0;0;0;{c0:100.{g0:106.103}},{c0:100.{g0:101.106.102}}",,,,,,"{""range"":{""minX"":0,""maxX"":1,""minY"":0,""maxY"":3},""keyframes"":[{""x"":0,""y"":0,""tangent"":1},{""x"":1,""y"":1,""tangent"":1}]}",
7,1_7,Rainy,Normal,,0,2,"0,0,2,0,0,6,2,0,1%0,0,13,1,6,0,1,0,1,3,13%3,1,1,3,6,0,1,6,1",",,,,,,,,,","0;0;0;{c0:100.{g0:103}}|0;60;1;{c0:100.{g0:102.101}}|0;0;0;{c2:{g1:112}},{c0:100.{g0:101.103.102}}|0;0;0;{c0:100.{g0:106.101.103.102}}|0;0;0;{c0:100.{g0:106.101}},{c2:{g1:112}}|0;0;0;{c0:100.{g0:101.106}},{c2:{g1:112}}|0;60;1;{c0:100.{g0:101.106.103.102}}|0;60;1;{c0:100.{g0:103.101}},{c0:100.{g0:101}},{c0:100.{g0:103}}|0;0;0;{c2:{g1:112}}",,,0:100;1:100;2:22;3:27;6:35;7:22;13:100,1;1;2;1;2;2;1;2;3,"{""range"":{""minX"":0,""maxX"":1,""minY"":1,""maxY"":7},""keyframes"":[{""x"":0,""y"":0.10909780064923635,""tangent"":0},{""x"":0.24711907810499362,""y"":0.6571739978358792,""tangent"":0},{""x"":0.6081946222791293,""y"":0.4855541785148091,""tangent"":0},{""x"":1,""y"":1,""tangent"":0}]}","{""range"":{""minX"":0,""maxX"":1,""minY"":0,""maxY"":3},""keyframes"":[{""x"":0,""y"":0,""tangent"":1},{""x"":1,""y"":1,""tangent"":1}]}",intro weather & wait time
8,1_8,Normal,Normal,,0,2,"13,5,0,1,0,5,1,1,0,0,2%6,1,0,3,1,0,5,0,3,13,0,6,2,6%0,0,2,0,6,1,3,0,0,1,3",",,,,,,,,,","0;0;0;{c0:100.{g0:106}}|0;0;0;{c2:{g1:112}},{c0:100.{g0:103}}|0;0;0;{c0:100.{g0:102.101.103.105}}|0;0;0;{c0:100.{g0:101.102}},{c2:{g1:112}}|0;0;0;{c0:100.{g0:102.103.101}},{c0:100.{g0:103.105}}|0;0;0;{c0:100.{g0:101.103.106.105}}|0;0;0;{c0:100.{g0:101.102}},{c0:100.{g0:103}}|0;0;0;{c2:{g1:112}},{c0:100.{g0:101}},{c2:{g1:112}}|0;0;0;{c0:100.{g0:102.105.103}}|0;0;0;{c0:100.{g0:101.106.105}},{c0:100.{g0:105.102.106.103}}",,,0:100;1:100;2:100;3:100;5:41;6:33;13:100,1;2;3;1;1;2;1;2;2,"{""range"":{""minX"":0,""maxX"":1,""minY"":1,""maxY"":9},""keyframes"":[{""x"":0,""y"":0.10909780064923635,""tangent"":0},{""x"":0.2240717029449424,""y"":0.42465682327184884,""tangent"":0},{""x"":0.4827144686299616,""y"":0.7291435994866504,""tangent"":0},{""x"":0.7362355953905251,""y"":0.4135845768640378,""tangent"":0},{""x"":1,""y"":1,""tangent"":0}]}","{""range"":{""minX"":0,""maxX"":1,""minY"":0,""maxY"":3},""keyframes"":[{""x"":0,""y"":0,""tangent"":1},{""x"":1,""y"":1,""tangent"":1}]}",
9,1_9,Rainy,Normal,,0,2,"0,7,1,13,0,0,6%5,3,13,0,3,0,1,0,6,6%6,7,6,5,0,6,1,5,5,6,5%1,1,2,2,6,0,1,0,2,6%0,13,0,6,0,3,0",",,,,,,,,,","0;0;0;{c0:100.{g0:105.106.101}}|0;0;0;{c0:100.{g0:101.105}}|0;0;0;{c2:{g1:112}},{c2:{g1:112}}|0;0;0;{c2:{g1:112}},{c1:107}|0;60;1;{c2:{g1:112}},{c1:107},{c2:{g1:112}}|0;0;0;{c0:100.{g0:105.102.106.103}}|0;0;0;{c0:100.{g0:105.106}},{c0:100.{g0:106.105}}|0;0;0;{c0:100.{g0:105.106.101.103}}|0;60;1;{c0:100.{g0:106.105.101.102}}|0;0;0;{c0:100.{g0:106.105.103.102}},{c0:100.{g0:105.103}}|0;0;0;{c0:100.{g0:106.105.101.102}}|0;60;1;{c0:100.{g0:102.101}},{c0:100.{g0:103.106.102}},{c0:100.{g0:106.103}},{c2:{g1:112}}",,,0:100;1:100;2:14;3:47;5:100;6:100;7:75;13:99,1;1;2;2;3;1;2;1;1;2;1;3,"{""range"":{""minX"":0,""maxX"":1,""minY"":1,""maxY"":9},""keyframes"":[{""x"":0,""y"":0.34161497521326667,""tangent"":0},{""x"":0.2855313700384123,""y"":0.0703449382218978,""tangent"":0},{""x"":0.53393085787452,""y"":0.5630599033694859,""tangent"":0},{""x"":1,""y"":1,""tangent"":0}]}","{""range"":{""minX"":0,""maxX"":1,""minY"":0,""maxY"":3},""keyframes"":[{""x"":0,""y"":0,""tangent"":1},{""x"":1,""y"":1,""tangent"":1}]}",
10,1_10,Rainy,Hard,,0,2,"0,3,0,2,2,1,0,0,3,0,2%5,0,3,2,2,5,0,0,0,5,3,5,0,5%6,13,0,0,1,1,1,0,2,1,-1,0,0,6,1,2,6,0%0,0,2,3,13,0,5,0,0,0,1,0,0,1%5,1,1,6,6,3,1,1,0,6,1",",,,,,,,,,","0;0;0;{c2:{g1:112}},{c2:{g1:112}}|0;0;0;{c0:100.{g0:103}},{c0:100.{g0:105}}|0;0;0;{c0:100.{g0:106.102.103.105}}|0;0;0;{c0:100.{g0:101.102.103.105}}|0;0;0;{c0:100.{g0:101}},{c2:{g1:112}},{c0:100.{g0:103.102}}|0;0;0;{c0:100.{g0:102.103.105.106}}|0;60;1;{c0:100.{g0:105}},{c0:100.{g0:101}}|0;0;0;{c0:100.{g0:101}},{c2:{g1:112}},{c0:100.{g0:103}}|0;0;0;{c0:100.{g0:105.101.102.106}}|0;60;1;{c0:100.{g0:105.102.101.106}}|0;0;0;{c0:100.{g0:101.105}},{c0:100.{g0:102.105}},{c0:100.{g0:101.102}}|0;0;0;{c0:100.{g0:102.103.105}},{c0:100.{g0:102.101.105}},{c0:100.{g0:102}}|0;0;0;{c0:100.{g0:102.105.101.106}},{c0:100.{g0:106.102.103.101}}|0;60;1;{c0:100.{g0:101.103}},{c0:100.{g0:103.105.102}},{c0:100.{g0:105.101.102.103}}|0;0;0;{c0:100.{g0:102.103}}",,,0:100;1:81;2:100;3:48;5:100;6:29;7:100;13:66,1;2;1;1;3;1;2;3;1;1;3;3;2;3,"{""range"":{""minX"":0,""maxX"":1,""minY"":1,""maxY"":12},""keyframes"":[{""x"":0,""y"":0.042577820277309386,""tangent"":0},{""x"":0.16261203585147246,""y"":0.5463650318327085,""tangent"":0},{""x"":0.45198463508322667,""y"":0.30277561086086713,""tangent"":0},{""x"":0.7567221510883482,""y"":0.67923198872644,""tangent"":0.06973729390725995},{""x"":1,""y"":1,""tangent"":0}]}","{""range"":{""minX"":0,""maxX"":1,""minY"":0,""maxY"":7},""keyframes"":[{""x"":0,""y"":0,""tangent"":1},{""x"":1,""y"":1,""tangent"":1}]}",
