Level_ID,Name,Weather,LevelTag,FeatureUnlock,ShuffleDistance,ServeableSlots,QueueString,GridString,CustomerString,OutOfSlotPolicy,BoosterCharges,IngredientWeights,CustomerDishesSequence,ComplexityCurve,ShuffleCurve,DesignNote,RandomSeed,ObstacleData,BagFill
1,Level 1,Normal,Normal,,0,2,"20,4:2,20,20,3:2,6:2,5:2,20%5:2,20,3:2,20,20,20,20,20%20,6:2,20,20,20,20,4:2,20",",,,,,,,,,","0;0;0;{c0:{g3:0}.{g4:5}},{c0:{g3:0}.{g4:4}}|0;0;0;{c0:{g3:0}.{g4:6}}|0;0;0;{c0:{g3:0}.{g4:3}}|0;0;0;{c0:{g3:0}.{g4:3}},{c0:{g3:0}.{g4:4}}|0;0;0;{c0:{g3:0}.{g4:6}},{c0:{g3:0}.{g4:3}}|0;0;0;{c0:{g3:0}.{g4:5}},{c0:{g3:0}.{g4:6}}|0;0;0;{c0:{g3:0}.{g4:3}},{c0:{g3:0}.{g4:5}}|0;0;0;{c0:{g3:0}.{g4:4}}|0;0;0;{c0:{g3:0}.{g4:5}},{c0:{g3:0}.{g4:4}},{c0:{g3:0}.{g4:6}}",,,c0:100;0:100;3:71;4:60;5:59;6:62;10:25;24:50,2;1;1;2;2;2;2;1,"{""range"":{""minX"":0,""maxX"":1,""minY"":1,""maxY"":3},""keyframes"":[{""x"":0,""y"":0,""tangent"":1},{""x"":1,""y"":1,""tangent"":1}]}","{""range"":{""minX"":0,""maxX"":1,""minY"":0,""maxY"":5},""keyframes"":[{""x"":0,""y"":0.5,""tangent"":0},{""x"":1,""y"":0.5,""tangent"":0}]}",,4169756214,orderLock=1;lockKey=1;hidden=3;frozen=1;combined=1,
2,Level 2,Normal,Normal,,0,2,"20,9,4:2,20,5:2,20,9,3:2,9,20,20,20,20,20,3:2,20,9%8,5:2,9,3:2,9,20,8,20,8,20,5:2,4:2,9,5:2,20,20,8%20,20,8,20,8,20,20,4:2,20,3:2,20,20,8,20,4:2,20",",,,,,,,,,","0;0;0;{c0:{g3:0}.{g4:5}},{c0:{g3:0}.{g4:5}},{c3:24}|0;0;0;{c0:{g3:0}.{g4:4}},{c3:24}|0;0;0;{c0:{g3:0}.{g4:3}},{c0:{g3:0}.{g4:5}},{c3:24}|0;0;0;{c0:{g3:0}.{g4:5}},{c0:{g3:0}.{g4:4}},{c0:{g3:0}.{g4:3}},{c3:24};;7|0;0;0;{c0:{g3:0}.{g4:3}},{c0:{g3:0}.{g4:4}},{c3:24}|0;0;0;{c0:{g3:0}.{g4:3}},{c0:{g3:0}.{g4:4}},{c0:{g3:0}.{g4:3}}|0;0;0;{c0:{g3:0}.{g4:5}},{c0:{g3:0}.{g4:5}},{c0:{g3:0}.{g4:4}}|0;0;0;{c0:{g3:0}.{g4:3}},{c0:{g3:0}.{g4:4}},{c3:24}|0;0;0;{c0:{g3:0}.{g4:5}},{c0:{g3:0}.{g4:3}},{c0:{g3:0}.{g4:4}}|0;0;0;{c0:{g3:0}.{g4:5}},{c0:{g3:0}.{g4:4}},{c0:{g3:0}.{g4:3}},{c3:24}",,,c0:100;c3:77;0:100;3:33;4:33;5:33;11:25;12:25;13:38;14:13;23:88;24:29,2;1;2;1;2;2;2;2;3,"{""range"":{""minX"":0,""maxX"":1,""minY"":1,""maxY"":5},""keyframes"":[{""x"":0,""y"":0,""tangent"":1},{""x"":1,""y"":1,""tangent"":1}]}","{""range"":{""minX"":0,""maxX"":1,""minY"":0,""maxY"":3},""keyframes"":[{""x"":0,""y"":0,""tangent"":1},{""x"":1,""y"":1,""tangent"":1}]}",,3225459349,ingredientLock=1;lockKey=1;hidden=1;linked=2;timed=1;shipper=1,
3,Level 3,Normal,Normal,,0,2,"9,20,9,8,20,4:2,20,8,5:2,20,4:2%7,6:2,7,9,9,20,5:2,9,20,9,20%20,20,20,7,8,6:2,20,8,4:2,7,20%5:2,4:2,9,20,20,20,9,20,20,20$$2-0,3-2;1-2,0-4;2-4,1-6;2-7,3-9;1-8,0-10",",,,,,,,,,","0;0;0;{c5:23},{c0:{g3:0}.{g4:5}}|0;0;0;{c0:{g3:0}.{g4:6}},{c0:{g3:0}.{g4:4}}|0;0;0;{c5:23},{c0:{g3:0}.{g4:5}}|0;0;0;{c3:24},{c5:23}|0;0;0;{c0:{g3:0}.{g4:6}},{c0:{g3:0}.{g4:4}},{c3:24}|0;0;0;{c0:{g3:0}.{g4:4}},{c0:{g3:0}.{g4:6}}|0;0;0;{c0:{g3:0}.{g4:4}},{c0:{g3:0}.{g4:5}}|0;0;0;{c0:{g3:0}.{g4:5}},{c3:24}|0;0;0;{c3:24},{c0:{g3:0}.{g4:5}},{c0:{g3:0}.{g4:4}};;7|0;0;0;{c0:{g3:0}.{g4:4}},{c0:{g3:0}.{g4:6}}|0;0;0;{c5:23},{c0:{g3:0}.{g4:4}}|0;0;0;{c0:{g3:0}.{g4:4}},{c0:{g3:0}.{g4:5}}",,,c0:100;c3:86;c5:77;0:100;4:68;5:69;6:68;11:53;12:54;23:85;24:76,1;2;1;2;1;2;2;2;1;2;2,"{""range"":{""minX"":0,""maxX"":1,""minY"":1,""maxY"":11},""keyframes"":[{""x"":0,""y"":0,""tangent"":0},{""x"":1,""y"":1,""tangent"":0}]}","{""range"":{""minX"":0,""maxX"":1,""minY"":0,""maxY"":1},""keyframes"":[{""x"":0,""y"":0,""tangent"":1},{""x"":1,""y"":1,""tangent"":1}]}",,3399049308,orderLock=1;lockKey=1;hidden=2;frozen=2;linked=1;combined=2;timed=2;shipper=1,
4,Level 4,Rainy,,,0,2,"9,10:2,20,10:2,20,4:2,9,9,9,10:2,9,11,20,4:2,9,9,7%8,11,6:2,20,8,7,20,8,8,20,8,9,6:2,9,8,8,11%9,9,9,4:2,20,9,10:2,20,9,20,9,8,20,7,20,10:2%7,8,7,9,20,8,11,6:2,7,4:2,7,10:2,20,11,20,9$$3-1,2-3;0-3,1-6;2-7,1-9;0-10,1-12;2-12,3-14;2-10,3-8",",,,,,,,,,","0;0;0;{c3:24},{c4:23.10.11}|0;0;0;{c3:24.10},{c0:{g3:0}.{g4:6}}|0;0;0;{c4:23.10},{c0:{g3:0}.{g4:4}},{c3:24}|0;0;0;{c0:{g3:0}.{g4:4}},{c0:{g3:0}.{g4:6}}|0;0;0;{c0:{g3:0}.{g4:4}},{c0:{g3:0}.{g4:4}},{c3:24.10}|0;0;0;{c4:23.10.11},{c3:24},{c0:{g3:0}.{g4:6}}|0;0;0;{c3:24.10},{c5:23.10},{c0:{g3:0}.{g4:6}}|0;0;0;{c0:{g3:0}.{g4:4}},{c3:24},{c4:23.10.11}|0;0;0;{c3:24.10},{c0:{g3:0}.{g4:6}},{c0:{g3:0}.{g4:4}},{c0:{g3:0}.{g4:4}}|0;0;0;{c4:23.10.11},{c3:24},{c0:{g3:0}.{g4:4}}|0;0;0;{c0:{g3:0}.{g4:6}},{c3:24.10},{c4:23.10.11}",,,c0:100;c3:59;c5:75;0:100;4:74;6:77;10:63;11:83;12:51;23:77;24:78,2;2;2;2;3;1;1;2;1;3;2;2,"{""range"":{""minX"":0,""maxX"":1,""minY"":1,""maxY"":11},""keyframes"":[{""x"":0,""y"":0.5026815596768917,""tangent"":0},{""x"":1,""y"":1,""tangent"":0}]}","{""range"":{""minX"":0,""maxX"":1,""minY"":0,""maxY"":0},""keyframes"":[{""x"":0,""y"":0,""tangent"":1},{""x"":1,""y"":1,""tangent"":1}]}",,3837538610,,
5,Level 5,Rainy,Hard,,0,2,"20,10:2#2,7#2,4:2#2,7,9,7#2,8,9,9#2,7,9,9#2,4:2#2,7#2,7,20%5:2,9#2,10:2#2,20#2,9,7,20,10:2#2,7#2,7,10:2#2,7,7#2,9#2,11#2,20,20#2%9,8#2,11#2,6:2#2,7,11,3:2,9#2,10:2#2,20,11#2,20,10:2#2,8#2,10:2#2,6:2,20#2%7,9#2,20#2,9#2,10:2,9,9#2,7,20,9#2,20,3:2,20#2,9#2,9#2,20",",,,,,,,,,","0;0;0;{c0:{g3:0}.{g4:5}},{c4:23.10}|0;0;0;{c3:24.10}|0;0;0;{c4:23.10.11}|0;0;0;{c0:{g3:0}.{g4:4}},{c0:{g3:0}.{g4:6}}|0;0;0;{c5:23.10}|0;0;0;{c5:23.10},{c4:23.11},{c5:23.10}|0;0;0;{c0:{g3:0}.{g4:3}}|0;0;0;{c3:24.10},{c5:23.10}|0;90;0;{c4:23.10},{c0:{g3:0}.{g4:3}},{c4:23.10},{c0:{g3:0}.{g4:6}};;14|0;0;0;{c4:23.10.11},{c0:{g3:0}.{g4:4}}|0;0;0;{c5:23.10}|0;0;0;{c0:{g3:0}.{g4:3}},{c5:23.10}|0;0;0;{c0:{g3:0}.{g4:4}},{c3:24.10},{c4:23.11.10}|0;0;0;{c5:23.10},{c0:{g3:0}.{g4:6}}|0;0;0;{c0:{g3:0}.{g4:5}},{c0:{g3:0}.{g4:3}},{c0:{g3:0}.{g4:6}},{c0:{g3:0}.{g4:4}}",,,c0:100;c3:100;c4:100;c5:100;0:80;3:77;4:65;5:64;6:60;10:60;11:65;23:81;24:76,2;1;1;1;2;1;3;1;2;2;1;2;3;2,"{""range"":{""minX"":0,""maxX"":1,""minY"":1,""maxY"":12},""keyframes"":[{""x"":0,""y"":0,""tangent"":0},{""x"":0.23943661971830985,""y"":0.5857234077354739,""tangent"":0},{""x"":0.6389244558258643,""y"":0.4030313420065931,""tangent"":0},{""x"":1,""y"":1,""tangent"":0}]}","{""range"":{""minX"":0,""maxX"":1,""minY"":0,""maxY"":0},""keyframes"":[{""x"":0,""y"":0,""tangent"":1},{""x"":1,""y"":1,""tangent"":1}]}",,0,hidden=3;frozen=1;linked=2;combined=1;timed=3;shipper=1,
6,Level 6,Normal,Normal,,0,2,"25,25,10:2,14,6:2,5:2,9,13,13,9,10:2,13,3:2,8,9,8,25,25,20%13,13,9,25,20,9,8,20,9,8,20,25,20,9,8,10:2,13,14,20%25,9,8,14,3:2,8,20,20,8,9,5:2,14,6:2,8,20,25,25,9%14,8,25,20,20,10:2,25,25,10:2,8,25,20,9,10:2,9,14,13,8$$3-1,2-3;0-4,1-6;2-7,3-9;1-9,0-11;1-11,2-13;3-14,2-16;0-15,1-17",",,,,,,,,,","0;0;0;{c1:12.{g0:13}},{c1:12.{g0:14}},{c1:12.{g0:13}}|0;0;0;{c3:24.10},{c3:24.10}|0;0;0;{c1:12.{g0:14}},{c1:12.{g0:14}}|0;0;0;{c0:{g3:0}.{g4:6}},{c0:{g3:0}.{g4:3}}|0;0;0;{c0:{g3:0}.{g4:5}},{c3:24.10}|0;0;0;{c3:24.10},{c0:{g3:0}.{g4:6}}|0;0;0;{c1:12.{g0:13}},{c0:{g3:0}.{g4:3}}|0;0;0;{c0:{g3:0}.{g4:5}},{c1:12.{g0:13}}|0;0;0;{c3:24.10},{c3:24.10}|0;0;0;{c3:24.10},{c0:{g3:0}.{g4:5}},{c1:12.{g0:13}}|0;0;0;{c1:12.{g0:14}},{c0:{g3:0}.{g4:3}}|0;0;0;{c0:{g3:0}.{g4:6}},{c3:24.10}|0;0;0;{c3:24.10},{c3:24.10},{c0:{g3:0}.{g4:5}}|0;0;0;{c3:24.10},{c1:12.{g0:14}},{c1:12.{g0:13}}|0;0;0;{c1:12.{g0:13}},{c1:12.{g0:14}}|0;0;0;{c3:24.10},{c0:{g3:0}.{g4:6}},{c0:{g3:0}.{g4:3}}",,,c0:100;c1:100;c3:100;0:82;3:45;5:46;6:46;10:81;11:28;12:80;13:71;14:70;23:26;24:77,2;3;2;2;2;2;2;2;2;3;2;2;3;3;2,"{""range"":{""minX"":0,""maxX"":1,""minY"":1,""maxY"":9},""keyframes"":[{""x"":0,""y"":0.46946482045345883,""tangent"":0.5188454666700215},{""x"":1,""y"":1,""tangent"":1}]}","{""range"":{""minX"":0,""maxX"":1,""minY"":0,""maxY"":0},""keyframes"":[{""x"":0,""y"":0,""tangent"":1},{""x"":1,""y"":1,""tangent"":1}]}",,625881352,lockKey=2;hidden=2;frozen=3;linked=2;combined=2;timed=3,
7,Level 7,Normal,Normal,,0,2,"25,7,9,11,20,7,13,20,4:2,20,20,13,9,25,7,7,9,25,13,14,10:2,25,7,13,14,10:2,20,9,25%14,10:2,7,4:2,9,9,20,6:2,20,20,9,20,6:2,7,13,13,10:2,7,14,9,9,25,14,11,9,9,13,25,14,13%9,14,13,25,7,13,3:2,20,3:2,7,20,10:2,9,9,11,14,25,7,7,13,9,25,7,7,20,14,14,25,7",",,,,,,,,,","0;0;0;{c1:12.{g0:14}},{c5:23.10.{g0:14}}|0;0;0;{c4:23.11},{c0:{g3:0}.{g4:4}},{c1:12.{g0:13}}|0;0;0;{c5:23.10.{g0:13}},{c5:23.{g0:13}},{c0:{g3:0}.{g4:3}}|0;0;0;{c0:{g3:0}.{g4:6}},{c0:{g3:0}.{g4:3}},{c0:{g3:0}.{g4:4}}|0;0;0;{c0:{g3:0}.{g4:4}},{c0:{g3:0}.{g4:6}},{c0:{g3:0}.{g4:3}}|0;0;0;{c0:{g3:0}.{g4:4}},{c5:23.{g0:13}}|0;0;0;{c0:{g3:0}.{g4:6}},{c5:23.10}|0;0;0;{c1:12.{g0:13}},{c5:23.10.{g0:13}},{c4:23.10.11}|0;0;0;{c5:23.10.{g0:14}},{c1:12.{g0:14}},{c1:12.{g0:13}}|0;0;0;{c5:23.{g0:14}},{c5:23.10},{c1:12.{g0:13}}|0;0;0;{c1:12.{g0:14}},{c4:23.11},{c1:12.{g0:13}}|0;0;0;{c5:23.10.{g0:14}},{c5:23.10.{g0:13}},{c0:{g3:0}.{g4:6}}|0;0;0;{c0:{g3:0}.{g4:3}},{c1:12.{g0:14}}|0;0;0;{c5:23.{g0:14}.10},{c1:12.{g0:14}},{c1:12.{g0:13}}",,,c0:100;c1:84;c4:81;c5:74;0:100;3:75;4:70;6:70;10:70;11:72;12:79;13:74;14:71;23:79;24:21,3;3;2;3;3;2;2;3;3;2;3;3;3;2;3,"{""range"":{""minX"":0,""maxX"":1,""minY"":1,""maxY"":10},""keyframes"":[{""x"":0,""y"":0.46946482045345883,""tangent"":0.5188454666700215},{""x"":0.4391805377720871,""y"":0.28123663152067246,""tangent"":0},{""x"":1,""y"":1,""tangent"":1}]}","{""range"":{""minX"":0,""maxX"":1,""minY"":0,""maxY"":0},""keyframes"":[{""x"":0,""y"":0,""tangent"":1},{""x"":1,""y"":1,""tangent"":1}]}",,1821797500,ingredientLock=1;lockKey=1;hidden=5;frozen=4;linked=2;combined=1;timed=3;shipper=1,
8,Level 8,Normal,Normal,,0,2,"25,15,7,20,25,14,13,7,7,7,5:2,14,20,9,14,25,14,14%13,20,14,5:2,14,15,15,13,9,10:2,9,9,15,7,15,14,15,15%15,3:2,10:2,20,20,10:2,20,10:2,7,20,7,7,9,10:2,20,15,20,20,15%20,15,9,20,9,9,15,15,13,3:2,9,11,7,13,4:2,9,15,15%4:2,9,7,4:2,7,7,9,9,9,20,7,10:2,13,25,15,7,25,20$$4-3,3-3;2-4,1-5;0-7,1-8;4-11,3-12;2-9,3-10;1-14,2-13;0-15,1-16;2-16,3-17;1-1,2-1",",,,,,,,,,","0;0;0;{c1:12.{g0:13}.{g1:15}},{c0:{g3:0}.{g4:4}.{g1:15}}|0;0;0;{c0:{g3:0}.{g4:3}.{g1:15}},{c5:23.{g0:14}.10}|0;0;0;{c5:23.10},{c0:{g3:0}.{g4:5}},{c0:{g3:0}.{g4:4}}|0;0;0;{c0:{g3:0}.{g4:4}},{c1:12.{g0:14}},{c0:{g3:0}.{g4:5}}|0;0;0;{c5:23.{g0:14}.{g1:15}.10}|0;0;0;{c5:23.{g0:13}.10.{g1:15}},{c0:{g3:0}.{g4:3}.{g1:15}}|0;0;0;{c5:23.{g0:13}.10.{g1:15}}|0;0;0;{c5:23.10},{c5:23.{g0:13}},{c4:23.10}|0;0;0;{c0:{g3:0}.{g4:3}},{c0:{g3:0}.{g4:5}},{c5:23.10},{c5:23.{g0:14}};;8|0;0;0;{c4:23.11.10},{c0:{g3:0}.{g4:4}.{g1:15}},{c5:23.10.{g0:13}}|0;0;0;{c5:23.10.{g0:13}},{c1:12.{g0:14}.{g1:15}},{c0:{g3:0}.{g4:4}.{g1:15}}|0;0;0;{c1:12.{g0:14}.{g1:15}},{c5:23.10.{g0:14}.{g1:15}}|0;0;0;{c0:{g3:0}.{g4:4}.{g1:15}},{c1:12.{g0:14}.{g1:15}}|0;0;0;{c0:{g3:0}.{g4:3}.{g1:15}},{c0:{g3:0}.{g4:5}.{g1:15}}",,,c0:100;c1:83;c4:37;c5:79;0:100;3:54;4:56;5:56;10:76;11:54;12:62;13:74;14:70;15:81;23:72;24:26,2;2;3;3;1;2;1;3;2;3;3;2;2;2,"{""range"":{""minX"":0,""maxX"":1,""minY"":1,""maxY"":10},""keyframes"":[{""x"":0,""y"":0.46946482045345883,""tangent"":0.5188454666700215},{""x"":1,""y"":1,""tangent"":1}]}","{""range"":{""minX"":0,""maxX"":1,""minY"":0,""maxY"":0},""keyframes"":[{""x"":0,""y"":0,""tangent"":1},{""x"":1,""y"":1,""tangent"":1}]}",,161030835,ingredientLock=1;lockKey=1;frozen=1;linked=2;shipper=1,
9,Level 9,Normal,Normal,,0,2,"20,10:2,14,15#2,14,15,9#2,14#2,15#2,15#2,13,10:2,13,20#2,11#2,7,10:2,7,15,15#2,25#2,7,14,20%4:2,13,15#2,20,10:2#2,25,7,15#2,9,10:2,15#2,14,15,4:2,25#2,13#2,13,14,9#2,10:2#2,13,14,15%9,9,20#2,9,25,14#2,13,25,7#2,9,9#2,15,25,9,14,9#2,15#2,20,7,20#2,15#2,9,20%7,7,6:2,7#2,13#2,15#2,25#2,14,13,7#2,7,25,14,7,9#2,7#2,9,5:2,13,15,9#2,7#2,15",",,,,,,,,,","0;0;0;{c0:{g3:0}.{g4:4}},{c5:23.10.{g0:13}},{c5:23.10.{g0:14}.{g1:15}}|0;0;0;{c0:{g3:0}.{g4:6}.{g1:15}},{c0:{g3:0}.{g4:4}},{c5:23.{g0:14}.10}|0;0;0;{c1:12.{g0:13}.{g1:15}},{c1:12.{g0:14}.{g1:15}}|0;0;0;{c5:23.10.{g0:13}},{c1:12.{g0:14}.{g1:15}}|0;0;0;{c1:12.{g0:14}.{g1:15}},{c5:23.{g0:13}.{g1:15}.10}|0;0;0;{c5:23.10.{g0:13}.{g1:15}},{c5:23.10.{g0:14}.{g1:15}},{c1:12.{g0:13}.{g1:15}},{c1:12.{g0:14}};;7|0;0;0;{c0:{g3:0}.{g4:4}},{c4:23.11},{c1:12.{g0:14}}|0;0;0;{c5:23.10.{g0:13}},{c5:23.10.{g0:13}.{g1:15}},{c5:23.10.{g0:14}}|0;0;0;{c0:{g3:0}.{g4:5}.{g1:15}},{c5:23.{g0:13}.{g1:15}.10}|0;0;0;{c0:{g3:0}.{g4:5}.{g1:15}},{c1:12.{g0:13}.{g1:15}}|0;0;0;{c5:23.10.{g0:14}},{c5:23.{g0:14}.{g1:15}},{c0:{g3:0}.{g4:6}.{g1:15}}|0;0;0;{c0:{g3:0}.{g4:4}}",,,c0:100;c1:100;c4:27;c5:100;0:100;4:100;5:100;6:100;10:85;11:71;12:88;13:84;14:92;15:78;23:78;24:30,3;3;2;2;2;2;3;3;2;2;3,"{""range"":{""minX"":0,""maxX"":1,""minY"":1,""maxY"":10},""keyframes"":[{""x"":0,""y"":0.46946482045345883,""tangent"":0.5188454666700215},{""x"":1,""y"":1,""tangent"":1}]}","{""range"":{""minX"":0,""maxX"":1,""minY"":0,""maxY"":0},""keyframes"":[{""x"":0,""y"":0,""tangent"":1},{""x"":1,""y"":1,""tangent"":1}]}",,3378190873,lockKey=2;hidden=4;frozen=4;combined=1;shipper=1,
10,Level 10,Normal,Hard,,0,2,"9,20,5:2,14,25,8,20,7,13,15,14,13,20,10:2,9,13,10:2,6:2,10:2,15,9,14,15,3:2,10:2,8,20,20%7,3:2,15,9,13,9,6:2,14,15,9,15,7,15,9,8,9,11,15,11,25,7,15,20,15,14,25,20,15%10:2,15,9,8,15,8,15,15,25,7,9,20,9,7,9,7,8,9,25,14,11,25,15,9,15,13,5:2,20%13,20,7,10:2,9,10:2,9,25,13,10:2,15,8,14,15,7,9,20,7,13,15,25,13,20,7,9,15,15$$3-1,2-3;0-5,1-7;2-9,3-11;1-11,0-13;1-15,2-18;1-19,0-21;2-21,3-23;2-24,1-26",",,,,,,,,,","0;0;0;{c5:23.10.{g0:13}},{c0:{g3:0}.{g4:3}.{g1:15}}|0;0;0;{c0:{g3:0}.{g4:5}.{g1:15}},{c5:23.10.{g0:14}},{c3:24.10}|0;0;0;{c1:12.{g0:13}.{g1:15}},{c3:24.10}|0;0;0;{c3:24.10},{c0:{g3:0}.{g4:6}.{g1:15}}|0;0;0;{c5:23.10.{g0:14}.{g1:15}},{c1:12.{g0:13}.{g1:15}}|0;0;0;{c1:12.{g0:13}.{g1:15}},{c5:23.10.{g0:14}.{g1:15}}|0;0;0;{c5:23.{g0:13}.{g1:15}.10},{c0:{g3:0}.{g4:6}.{g1:15}}|0;0;0;{c0:{g3:0}.{g4:3}.{g1:15}},{c3:24.10}|0;0;0;{c5:23.{g0:14}},{c3:24.10},{c5:23.{g0:13}}|0;0;0;{c4:23.11.10},{c3:24.10}|0;90;0;{c0:{g3:0}.{g4:6}.{g1:15}},{c4:23.10.11},{c1:12.{g0:13}.{g1:15}},{c1:12.{g0:14}.{g1:15}},{c4:23.10.11};;13|0;0;0;{c1:12.{g0:14}.{g1:15}},{c1:12.{g0:13}.{g1:15}}|0;0;0;{c0:{g3:0}.{g4:5}.{g1:15}},{c0:{g3:0}.{g4:3}.{g1:15}}|0;0;0;{c5:23.10.{g0:14}.{g1:15}},{c3:24.10}|0;0;0;{c1:12.{g0:13}.{g1:15}},{c0:{g3:0}.{g4:6}},{c0:{g3:0}.{g4:5}.{g1:15}}|0;0;0;{c0:{g3:0}.{g4:3}.{g1:15}},{c0:{g3:0}.{g4:5}}",,,c0:100;c1:100;c3:90;c4:39;c5:85;0:100;3:100;5:100;6:100;10:100;11:91;12:83;13:93;14:90;15:86;23:87;24:80,2;3;2;1;1;2;1;2;3;1;2;2;2;2;3,"{""range"":{""minX"":0,""maxX"":1,""minY"":1,""maxY"":14},""keyframes"":[{""x"":0,""y"":0,""tangent"":0.5188454666700215},{""x"":0.3034571062740077,""y"":0.7241264878331111,""tangent"":0},{""x"":0.6542893725992318,""y"":0.36427847957925463,""tangent"":0},{""x"":1,""y"":1,""tangent"":1}]}","{""range"":{""minX"":0,""maxX"":1,""minY"":0,""maxY"":0},""keyframes"":[{""x"":0,""y"":0,""tangent"":1},{""x"":1,""y"":1,""tangent"":1}]}",,3830518737,orderLock=2;frozen=1;linked=1;timed=1;shipper=1,
